"Date","Confirmed (daily growth) (CUSTOM)","Deaths (daily growth) (CUSTOM)","Confirmed (window average) (CUSTOM)","Deaths (window average) (CUSTOM)"
"2021-11-02 00:00:00",39,0,188.4,1.6
"2021-11-01 00:00:00",704,2,223.3333,2.5
"2021-10-31 00:00:00",0,0,252.8571,2.2857
"2021-10-30 00:00:00",34,0,231,2
"2021-10-29 00:00:00",165,6,305,2.5
"2021-10-28 00:00:00",398,7,217,2.25
"2021-10-27 00:00:00",430,1,221.125,2.25
"2021-10-26 00:00:00",78,0,268.25,2.875
"2021-10-25 00:00:00",631,4,272.875,2.125
"2021-10-24 00:00:00",0,0,281.875,1.5
"2021-10-23 00:00:00",33,0,240.125,1.5
"2021-10-22 00:00:00",411,5,353.125,1.875
"2021-10-21 00:00:00",202,0,274.25,1.375
"2021-10-20 00:00:00",470,2,274.25,1.375
"2021-10-19 00:00:00",96,1,283.5,1.875
"2021-10-18 00:00:00",982,3,271.25,1.375
"2021-10-17 00:00:00",0,0,306.125,1.875
"2021-10-16 00:00:00",0,0,293.75,1.75
"2021-10-15 00:00:00",107,4,487.5,3.25
"2021-10-14 00:00:00",313,1,364.75,2.875
"2021-10-13 00:00:00",481,4,364.75,2.875
"2021-10-12 00:00:00",371,1,384.875,3.625
"2021-10-11 00:00:00",1646,13,420.125,5.25
"2021-10-10 00:00:00",0,0,414.375,5.75
"2021-10-09 00:00:00",0,0,375.75,6
"2021-10-08 00:00:00",161,6,476.125,7.125
"2021-10-07 00:00:00",389,17,270.375,5.5
"2021-10-06 00:00:00",267,5,279.875,5.5
"2021-10-05 00:00:00",172,6,375.75,6.5
"2021-10-04 00:00:00",1174,10,461.875,5.875
"2021-10-03 00:00:00",0,0,442.25,4.875
"2021-10-02 00:00:00",76,0,463.375,5.125
"2021-10-01 00:00:00",767,8,614.375,6.75
"2021-09-30 00:00:00",850,1,467.625,5.5
"2021-09-29 00:00:00",232,9,467.625,5.5
"2021-09-28 00:00:00",436,7,536.5,5.625
"2021-09-27 00:00:00",1380,19,534.75,5.5
"2021-09-26 00:00:00",0,0,537.375,8
"2021-09-25 00:00:00",0,0,560.375,7
"2021-09-24 00:00:00",627,1,764.5,6.625
"2021-09-23 00:00:00",753,7,592,4.25
