Date,Confirmed (daily growth) (CUSTOM),Deaths (daily growth) (CUSTOM),Confirmed (window average) (CUSTOM),Deaths (window average) (CUSTOM)
10/26/2021 0:00,1246,21,1923.2,38.6
10/25/2021 0:00,5662,102,2087.8333,41.5
10/24/2021 0:00,0,0,2170,44.7142
10/23/2021 0:00,33,0,2077.125,44.125
10/22/2021 0:00,2675,70,2791.375,51.625
10/21/2021 0:00,2911,56,2083.625,38.875
10/20/2021 0:00,2663,64,2083.625,38.875
10/19/2021 0:00,1427,40,2449.375,44.375
10/18/2021 0:00,6960,81,2561.75,45.5
10/17/2021 0:00,0,0,2610.625,50.875
10/16/2021 0:00,0,0,2565.75,46.25
10/15/2021 0:00,2959,44,3590.75,54
10/14/2021 0:00,3574,79,2720.75,43.875
10/13/2021 0:00,3302,99,2720.75,43.875
10/12/2021 0:00,2304,27,3209.625,54
10/11/2021 0:00,9627,102,3322.5,58.25
10/10/2021 0:00,0,0,3323.5,65
10/9/2021 0:00,0,0,3241.625,64.25
10/8/2021 0:00,3911,81,4342.25,74.75
10/7/2021 0:00,3862,78,3138.875,62
10/6/2021 0:00,3582,133,3148.375,62
10/5/2021 0:00,2647,93,3713.375,72.5
10/4/2021 0:00,11109,111,3842.375,72.375
10/3/2021 0:00,0,0,3932.125,82.125
10/2/2021 0:00,76,0,3910.25,72
10/1/2021 0:00,4520,84,5260.875,76.25
9/30/2021 0:00,4943,80,3872.25,62.375
9/29/2021 0:00,4580,156,3872.25,62.375
9/28/2021 0:00,3407,52,4577.625,73.625
9/27/2021 0:00,13452,127,4778.25,72.125
9/26/2021 0:00,0,0,4947.5,79
9/25/2021 0:00,0,0,4932.875,64
9/24/2021 0:00,5719,90,6506.875,77.125
9/23/2021 0:00,6125,72,4825.375,61.25
9/22/2021 0:00,6297,135,4825.375,61.25
9/21/2021 0:00,4463,36,5956.25,73.125
9/20/2021 0:00,15999,157,6014,76.75
9/19/2021 0:00,0,0,6139.75,80.25
9/18/2021 0:00,0,0,5977.25,70.75
9/17/2021 0:00,9047,95,8387.125,87.625
9/16/2021 0:00,6181,119,6387.25,68
9/15/2021 0:00,7131,100,6387.25,68
9/14/2021 0:00,4997,59,7069,77.125
9/13/2021 0:00,23742,171,6786.125,77
9/12/2021 0:00,0,0,6646.125,71.75
9/11/2021 0:00,0,0,8861.5,74.5
9/10/2021 0:00,5454,73,8236.875,67.125
9/9/2021 0:00,6784,94,5269.125,45.75
