Date,Confirmed (daily growth) (CUSTOM),Deaths (daily growth) (CUSTOM),Confirmed (window average) (CUSTOM),Deaths (window average) (CUSTOM)
10/26/2021 0:00,87358,1733,65428.2,1174.8
10/25/2021 0:00,105561,1414,68181.1666,1291.1666
10/24/2021 0:00,17102,148,70815.5714,1550.2857
10/23/2021 0:00,29824,449,72424,1608.75
10/22/2021 0:00,87296,2130,76758.375,1628.375
10/21/2021 0:00,81946,1873,66332.25,1474.375
10/20/2021 0:00,86622,3105,68387.125,1504.125
10/19/2021 0:00,83683,2018,76979.125,1718.625
10/18/2021 0:00,122033,1890,77188.25,1706.25
10/17/2021 0:00,22152,182,80264.625,1751.375
10/16/2021 0:00,33541,386,83383.875,1679.75
10/15/2021 0:00,98560,2165,88383.5,1572.875
10/14/2021 0:00,88969,2031,76009.25,1396.75
10/13/2021 0:00,106557,2234,77907,1436.875
10/12/2021 0:00,111576,2532,87830.125,1694.125
10/11/2021 0:00,123680,1163,88685.375,1730.25
10/10/2021 0:00,23039,481,93308.625,1792.625
10/9/2021 0:00,37334,503,92314.25,1767.375
10/8/2021 0:00,112926,2444,99954.375,1705.375
10/7/2021 0:00,105402,2454,87724.25,1591.125
10/6/2021 0:00,125955,2530,90372.125,1612
10/5/2021 0:00,98602,2032,101427.375,1854.25
10/4/2021 0:00,172697,2036,101837.75,1891.75
10/3/2021 0:00,25839,249,104726.5,1897.875
10/2/2021 0:00,44222,648,103149.625,1854.375
10/1/2021 0:00,125776,2441,115173,1898
9/30/2021 0:00,116209,2744,97865.25,1681.25
9/29/2021 0:00,128512,2503,101084.375,1728.75
9/28/2021 0:00,113340,2182,113058,1991.375
9/27/2021 0:00,194789,2381,113319,2080.625
9/26/2021 0:00,34235,302,117229.375,2086
9/25/2021 0:00,51592,629,117412.25,2068.75
9/24/2021 0:00,140011,2749,129265.5,2077.5
9/23/2021 0:00,127864,3155,109911.375,1817.625
9/22/2021 0:00,147492,2787,114154.5,1882.875
9/21/2021 0:00,129975,2365,128572.875,2126.625
9/20/2021 0:00,208166,2252,130431.875,2210.25
9/19/2021 0:00,39956,302,135723.25,2138.5
9/18/2021 0:00,68180,824,136373.75,2122.125
9/17/2021 0:00,166939,2579,155759.125,2042.125
9/16/2021 0:00,154883,3418,134683.125,1797.875
9/15/2021 0:00,170195,2581,138929.375,1846.5
9/14/2021 0:00,152696,2656,152446.375,2045.625
9/13/2021 0:00,285058,1725,152900.375,2127.25
9/12/2021 0:00,39558,298,156563.625,1975.25
9/11/2021 0:00,73926,691,172931.5,1930.875
9/10/2021 0:00,176316,2417,163466.5,1663.25
9/9/2021 0:00,170571,3232,133386.375,1494.75
9/8/2021 0:00,184189,2202,136698.375,1523.25
9/7/2021 0:00,301138,2226,151392,1684.25
