Date,Confirmed (daily growth) (CUSTOM),Deaths (daily growth) (CUSTOM),Confirmed (window average) (CUSTOM),Deaths (window average) (CUSTOM)
10/26/2021 0:00,39,0,45.8,0.2
10/25/2021 0:00,99,1,53.3333,0.1666
10/24/2021 0:00,0,0,45.7142,0.1428
10/23/2021 0:00,33,0,40,0.125
10/22/2021 0:00,58,0,56.125,0.125
10/21/2021 0:00,91,0,43.75,0
10/20/2021 0:00,0,0,43.75,0
10/19/2021 0:00,0,0,45,0.125
10/18/2021 0:00,168,0,37.75,0.125
10/17/2021 0:00,0,0,33.75,0.25
10/16/2021 0:00,0,0,41,0.25
10/15/2021 0:00,43,1,59.125,0.25
10/14/2021 0:00,0,0,38.125,0.25
10/13/2021 0:00,59,1,38.125,0.25
10/12/2021 0:00,58,0,44.625,0.375
10/11/2021 0:00,145,0,59.75,0.375
10/10/2021 0:00,0,0,67.125,0.375
10/9/2021 0:00,0,0,59.75,0.25
10/8/2021 0:00,52,1,73,0.375
10/7/2021 0:00,164,1,54.875,0.375
10/6/2021 0:00,59,0,64.375,0.375
10/5/2021 0:00,0,0,64.375,0.625
10/4/2021 0:00,164,1,81,0.5
10/3/2021 0:00,0,0,70.125,0.375
10/2/2021 0:00,76,0,62.75,0.625
10/1/2021 0:00,0,2,88.75,0.625
9/30/2021 0:00,185,0,68.25,0.5
9/29/2021 0:00,77,0,68.25,0.5
9/28/2021 0:00,0,2,70.625,0.5
9/27/2021 0:00,208,0,90.875,0.375
9/26/2021 0:00,0,0,67.75,0.5
9/25/2021 0:00,0,0,67.875,0.5
9/24/2021 0:00,95,0,96.75,0.25
9/23/2021 0:00,162,1,70.75,0.25
9/22/2021 0:00,0,1,70.75,0.25
9/21/2021 0:00,78,0,102.5,0.25
9/20/2021 0:00,231,0,107,0.25
9/19/2021 0:00,0,0,104.125,0.125
9/18/2021 0:00,0,0,134.625,0.125
9/17/2021 0:00,254,0,124.875,0.125
9/16/2021 0:00,131,0,96,0.125
9/15/2021 0:00,139,0,96,0.125
9/14/2021 0:00,244,1,113.375,0.125
9/13/2021 0:00,0,0,123.125,0.25
9/12/2021 0:00,0,0,158.125,0.25
9/11/2021 0:00,0,0,150.375,0.25
9/10/2021 0:00,139,0,119.875,0.125
9/9/2021 0:00,332,1,119.875,0.125
9/8/2021 0:00,411,0,163.125,0.125
9/7/2021 0:00,77,0,163.125,0.125
9/6/2021 0:00,0,0,187,0.125
9/5/2021 0:00,0,0,177.625,0.125
9/4/2021 0:00,346,0,128.25,0.125
9/3/2021 0:00,0,0,155,0.125
9/2/2021 0:00,330,0,155,0.125
9/1/2021 0:00,257,1,155,0.125
8/31/2021 0:00,16,0,134.375,0.125
8/30/2021 0:00,291,0,153.375,0.25
8/29/2021 0:00,0,0,140.75,0.25
